id,deskripsi,platform,tujuan,fitur_utama,target_user,estimasi_deadline,estimasi_budget,industri,ui/ux,hosting
70,Butuh tool untuk generate laporan keuangan otomatis dari data excel,Web,Tool Berbasis Web/Software,"Import data, generate report, export PDF",Staff keuangan,25 hari,8000000,Finance,Ya,Tidak
71,Ingin membuat e-commerce untuk produk fashion dengan fitur AR,Web & Mobile,E-Commerce,"AR try-on, katalog, pembayaran, review",Konsumen muda,90 hari,27000000,Fashion,Ya,Ya
72,Perlu sistem untuk mengelola booking jadwal di studio musik kami,Web,Website,"Booking online, pembayaran, manajemen jadwal",Musisi dan pengguna studio,35 hari,9500000,Entertainment,Ya,Ya
73,Butuh website untuk sekolah dengan fitur e-learning sederhana,Web,Website,"Profil sekolah, info pendaftaran, materi belajar",Siswa dan orang tua,45 hari,12500000,Education,Ya,Ya
74,Ingin mengembangkan aplikasi desktop untuk manajemen perpustakaan,Desktop,Aplikasi Desktop,"Katalog buku, peminjaman, pengembalian, denda",Pustakawan,50 hari,13000000,Education,Ya,Tidak
75,Perlu membuat integrasi payment gateway untuk website yang sudah ada,Web,Integrasi Payment,"Multiple payment method, pembayaran cicilan",User akhir,20 hari,5500000,E-Commerce,Tidak,Tidak
76,Butuh aplikasi mobile untuk delivery jasa laundry area Jakarta,Android,Aplikasi Mobile,"Order, tracking, pembayaran, rating",Pengguna dan kurir,60 hari,18000000,Service,Ya,Ya
77,Ingin membuat sistem manajemen proyek konstruksi berbasis web,Web,Tool Berbasis Web/Software,"Timeline proyek, upload dokumen, laporan progress",Kontraktor dan klien,70 hari,22000000,Construction,Ya,Ya
78,Perlu website untuk reservasi tempat di restoran kami,Web,Website,"Booking online, menu digital, promo",Pelanggan restoran,25 hari,7000000,Food & Beverage,Ya,Ya
79,Butuh desain UI/UX untuk aplikasi fintech yang sedang kami kembangkan,Design Only,Design UI/UX,"User flow, wireframe, prototype, styleguide",Tim developer,30 hari,15000000,Fintech,Ya,Tidak
80,Ingin membangun marketplace khusus produk UMKM lokal,Web & Mobile,E-Commerce,"Listing produk, chat, pembayaran, review",UMKM dan pembeli,100 hari,30000000,Marketplace,Ya,Ya
81,Kami membutuhkan website untuk menampilkan katalog produk furnitur kami dengan filter berdasarkan kategori dan harga.,WordPress,Website,"Katalog produk, filter kategori, kontak form, testimonial",Pencari furnitur rumah,21 hari,5000000,Furniture,Ya,Ya
82,Membutuhkan sistem manajemen inventaris yang terintegrasi dengan penjualan online kami.,PHP/MySQL,Sistem Backend,"Manajemen stok, dashboard admin, notifikasi stok menipis, laporan penjualan",Staff inventaris dan penjualan,45 hari,12000000,Retail,Ya,Ya
83,Tolong buatkan landing page untuk promosi produk baru kami dengan form pendaftaran untuk early access.,HTML/CSS/JS,Landing Page,"Hero section, fitur produk, form pendaftaran, testimoni",Calon pengguna produk,14 hari,3500000,Teknologi,Ya,Ya
84,Kami butuh aplikasi mobile untuk layanan antar makanan lokal kami di kota Bandung.,React Native,Aplikasi Mobile,"Daftar restoran, keranjang belanja, tracking pesanan, pembayaran online",Pelanggan restoran,60 hari,22000000,Food & Beverage,Ya,Tidak
85,Saya ingin membuat company profile interaktif untuk bisnis konsultasi keuangan saya.,React.js,Company Profile,"Profil tim, layanan, testimoni klien, form konsultasi",Calon klien bisnis,30 hari,7500000,Keuangan,Ya,Ya
86,Butuh e-commerce untuk toko buku independen kami dengan fitur pembayaran dan pengiriman.,WooCommerce,E-Commerce,"Katalog buku, keranjang, checkout, tracking pesanan",Pembeli buku,40 hari,15000000,Retail,Ya,Ya
87,Kami memerlukan platform untuk mengelola kursus online dan webinar kami.,Laravel,Tool Berbasis Web/Software,"Manajemen konten, sistem membership, integrasi video, pembayaran",Pelajar online,50 hari,18000000,Pendidikan,Ya,Ya
88,Saya ingin membuat API untuk mengintegrasikan data inventaris dengan aplikasi penjualan kami.,Node.js,API,"Authentication, CRUD operasi, dokumentasi, rate limiting",Developer internal,25 hari,8000000,Manufaktur,Tidak,Ya
89,Butuh aplikasi desktop untuk manajemen klinik gigi kami.,Electron,Aplikasi Desktop,"Jadwal dokter, rekam medis pasien, invoicing, laporan",Staff klinik,35 hari,14000000,Kesehatan,Ya,Tidak
90,Kami perlu integrasi pembayaran QRIS dan bank transfer untuk toko online kami.,PHP,Integrasi Payment,"Multiple payment gateway, notifikasi, reconciliation",Pembeli online,20 hari,6000000,E-commerce,Tidak,Tidak
91,Tolong buatkan aplikasi untuk otomatisasi pengiriman email marketing berdasarkan perilaku pelanggan.,Python,Automasi,"Segmentasi pelanggan, template email, analitik, scheduler",Tim marketing,28 hari,9500000,Marketing,Ya,Ya
92,Saya membutuhkan design UI/UX untuk aplikasi kesehatan mental yang sedang kami kembangkan.,Figma,Design UI/UX,"User flow, wireframe, mockup, prototype interaktif",Pengguna aplikasi kesehatan,18 hari,4500000,Kesehatan,Ya,Tidak
93,Kami ingin membuat website portofolio untuk studio arsitektur kami dengan gallery 3D.,Next.js,Website,"Gallery proyek, visualisasi 3D, form kontak, blog",Calon klien arsitektur,32 hari,9000000,Arsitektur,Ya,Ya
94,Butuh pengembangan sistem POS untuk rantai toko kopi kami yang terintegrasi dengan inventaris.,Java,Sistem Backend,"Transaksi penjualan, manajemen inventaris, laporan, multi-outlet",Barista dan manager,55 hari,20000000,Food & Beverage,Ya,Ya
95,Kami perlu website company profile untuk firma hukum dengan booking konsultasi online.,WordPress,Company Profile,"Profil pengacara, layanan hukum, testimonial, booking sistem",Calon klien hukum,25 hari,6500000,Hukum,Ya,Ya
96,Saya ingin membuat marketplace untuk menjual produk handmade lokal dari berbagai pengrajin.,Laravel,E-Commerce,"Multi-vendor, pembayaran split, review produk, dashboard vendor",Pengrajin dan pembeli,70 hari,25000000,Kerajinan,Ya,Ya
97,Tolong buatkan landing page untuk event tahunan tech conference kami dengan sistem registrasi.,Vue.js,Landing Page,"Agenda acara, profil pembicara, pendaftaran, peta lokasi",Peserta konferensi,15 hari,4000000,Event,Ya,Tidak
98,Kami membutuhkan aplikasi internal untuk pengelolaan proyek konstruksi dan pemantauan progress.,React/Node.js,Tool Berbasis Web/Software,"Timeline proyek, task management, upload dokumen, kolaborasi",Manajer proyek,40 hari,16000000,Konstruksi,Ya,Ya
99,Saya perlu membuat API untuk layanan pengiriman realtime yang terintegrasi dengan Google Maps.,Express.js,API,"Geolocation tracking, rute optimasi, notifikasi, autentikasi",Layanan logistik,30 hari,11000000,Logistik,Tidak,Ya
100,Butuh aplikasi mobile untuk komunitas petani organik kami dengan fitur marketplace sederhana.,Flutter,Aplikasi Mobile,"Profil petani, katalog produk, sistem pesan, edukasi",Petani dan konsumen,45 hari,17500000,Pertanian,Ya,Ya
101,Kami butuh website untuk menampilkan produk-produk fashion kami dan memungkinkan pelanggan memesan secara online,WordPress,E-Commerce,"Keranjang belanja, pembayaran online, manajemen inventori",Pria dan wanita usia 18-35 tahun,30 hari,3500000,Fashion,Ya,Ya
102,Butuh aplikasi mobile untuk mencatat dan memantau pengiriman paket dan status pemrosesan pesanan,Flutter,Aplikasi Mobile,"GPS tracking, notifikasi status, dashboard admin",Petugas logistik dan customer service,45 hari,8000000,Logistik,Ya,Tidak
103,Ingin membuat sistem backend untuk menghubungkan mesin POS dengan inventory management system kami,Laravel,Sistem Backend,"Sinkronisasi data, laporan real-time, user management",Staff administrasi dan manager,60 hari,12000000,Retail,Tidak,Ya
104,Saya membutuhkan landing page yang menarik untuk promosi event seminar online bulan depan,HTML/CSS/JS,Landing Page,"Form pendaftaran, countdown timer, integrasi sosial media",Profesional dan pelajar,10 hari,1500000,Pendidikan,Ya,Ya
105,Perusahaan kami memerlukan company profile yang profesional dan modern,WordPress,Company Profile,"Profil team, portfolio, testimonial, contact form",Potential client dan investor,21 hari,2500000,Konsultan,Ya,Ya
106,Kami perlu API untuk mengintegrasikan data dari berbagai cabang restoran kami,Node.js,API,"Authentication, data synchronization, reporting",Developer internal dan sistem cabang,40 hari,9000000,F&B,Tidak,Ya
107,Butuh aplikasi desktop untuk manajemen perpustakaan dengan fitur peminjaman dan pengembalian buku,Electron,Aplikasi Desktop,"Barcode scanner, database buku, laporan bulanan",Pustakawan dan admin perpustakaan,35 hari,6500000,Pendidikan,Ya,Tidak
108,Kami mencari developer untuk integrasi sistem pembayaran QRIS dan VA ke website kami,PHP,Integrasi Payment,"Multi payment gateway, notifikasi transaksi, invoice",Pelanggan toko online,25 hari,4500000,E-Commerce,Tidak,Tidak
109,Ingin membuat tool berbasis web untuk analisis data penjualan dan prediksi tren pasar,Python/Django,Tool Berbasis Web/Software,"Dashboard interaktif, grafik analitik, export data",Manajer pemasaran dan direksi,50 hari,15000000,Analitik Data,Ya,Ya
110,Butuh automasi untuk proses pengiriman email marketing berdasarkan perilaku pelanggan,Python,Automasi,"Segmentasi pelanggan, email scheduling, analitik",Tim marketing,20 hari,4000000,Marketing,Tidak,Ya
111,Kami ingin merancang UI/UX untuk aplikasi kesehatan yang akan kami kembangkan nanti,Figma,Design UI/UX,"Wireframing, prototyping, design system",Pasien dan tenaga medis,15 hari,3000000,Kesehatan,Ya,Tidak
112,Perusahaan properti kami membutuhkan website listing dengan fitur pencarian dan filter properti,React.js,Website,"Pencarian properti, virtual tour, booking viewing",Pembeli dan penyewa properti,40 hari,7500000,Real Estate,Ya,Ya
113,Butuh aplikasi mobile untuk manajemen inventaris gudang dengan scanner barcode,React Native,Aplikasi Mobile,"Barcode scanning, stock alert, reporting",Staff gudang dan supervisor,30 hari,6000000,Manufaktur,Ya,Tidak
114,Ingin membangun sistem backend untuk mengolah data IoT dari sensor pertanian kami,Python/Flask,Sistem Backend,"Data logging, visualisasi, alert system",Petani dan agronomis,55 hari,11000000,Pertanian,Tidak,Ya
115,Kami memerlukan landing page untuk peluncuran produk baru kosmetik organik,WordPress,Landing Page,"Product showcase, pre-order form, video teaser",Wanita usia 25-45 tahun,14 hari,2000000,Kosmetik,Ya,Ya
116,Butuh company profile interaktif dengan animasi dan video background,React.js,Company Profile,"Animasi scroll, video background, multilingual",Calon investor dan mitra bisnis,28 hari,5500000,Teknologi,Ya,Ya
117,Ingin mengembangkan API untuk layanan delivery makanan kami,Express.js,API,"Geolocation, order tracking, payment processing",Pelanggan restoran dan kurir,35 hari,7000000,F&B,Tidak,Ya
118,Membutuhkan aplikasi desktop untuk manajemen klinik dan appointment pasien,C#/.NET,Aplikasi Desktop,"Jadwal dokter, rekam medis, billing",Staf klinik dan dokter,45 hari,9500000,Kesehatan,Ya,Tidak
119,Kami ingin mengintegrasikan pembayaran Midtrans ke platform marketplace kami,PHP,Integrasi Payment,"Multiple payment methods, recurring payment, refund",Seller dan buyer marketplace,18 hari,3800000,E-Commerce,Tidak,Tidak
120,Butuh tool berbasis web untuk perhitungan dan simulasi kredit untuk nasabah kami,Vue.js,Tool Berbasis Web/Software,"Calculator, comparison chart, application form",Nasabah bank dan financial advisor,25 hari,5000000,Keuangan,Ya,Ya
121,Kami membutuhkan website company profile yang simpel namun elegan untuk bisnis konsultan keuangan kami,WordPress,Company Profile,"Halaman Layanan, Testimoni, Form Kontak",Pelaku Bisnis,14 hari,5000000,Keuangan,Ya,Ya
122,"Tolong bantu pembuatan toko online kami, ingin menjual produk fashion",WooCommerce,E-Commerce,"Katalog Produk, Keranjang Belanja, Pembayaran Online",Pria dan Wanita 18-35 tahun,30 hari,12000000,Fashion,Ya,Ya
123,Butuh landing page untuk promosi event webinar tentang investasi saham,HTML/CSS,Landing Page,"Form Pendaftaran, Countdown, Video Teaser",Investor Pemula,7 hari,3500000,Edukasi,Ya,Tidak
124,Sistem manajemen inventori untuk gudang distribusi kami,Laravel,Sistem Backend,"Dashboard, Laporan Stok, Barcode Scanner",Admin Gudang,45 hari,18000000,Logistik,Tidak,Ya
125,Ingin membuat API integrasi dengan marketplace untuk sinkronisasi stok,Node.js,API,"Auth, CRUD Produk, Webhook",Developer,21 hari,15000000,Retail,Tidak,Ya
126,Aplikasi mobile untuk pengguna layanan salon kecantikan kami,React Native,Aplikasi Mobile,"Booking, Notifikasi, Pembayaran",Wanita 25-45 tahun,60 hari,25000000,Kecantikan,Ya,Ya
127,Perlu otomatisasi proses penjadwalan karyawan di perusahaan manufaktur,Python,Automasi,"Algoritma Penjadwalan, Export Laporan",HRD,28 hari,14000000,Manufaktur,Tidak,Tidak
128,Tolong bantu buat desain UI/UX untuk aplikasi fintech yang sedang kami kembangkan,Figma,Design UI/UX,"Wireframe, Prototype, Design System",Pengguna Mobile Banking,21 hari,9000000,Fintech,Ya,Tidak
129,Butuh tool untuk mengelola dan menganalisis data survei pelanggan,Django,Tool Berbasis Web/Software,"Visualisasi Data, Export Excel, Filter",Tim Marketing,35 hari,16500000,Riset,Ya,Ya
130,Website company profile untuk klinik gigi dengan fitur booking appointment,PHP,Company Profile,"Sistem Booking, Galeri, Testimoni",Pasien,21 hari,8500000,Kesehatan,Ya,Ya
131,Aplikasi desktop untuk kasir di restoran kami,Electron,Aplikasi Desktop,"POS, Cetak Struk, Laporan Penjualan",Staff Kasir,30 hari,12500000,Kuliner,Ya,Tidak
132,Butuh integrasi pembayaran online untuk website donasi yang sudah ada,PHP,Integrasi Payment,"Multiple Payment Gateway, Invoice, Email Notifikasi",Donatur,14 hari,7500000,Non-Profit,Tidak,Tidak
133,Sistem pencatatan keuangan untuk UKM dengan fitur laporan bulanan,Laravel,Tool Berbasis Web/Software,"Arus Kas, Laporan Laba Rugi, Dashboard",Pemilik UKM,28 hari,13000000,Keuangan,Ya,Ya
134,Landing page untuk peluncuran produk kosmetik baru dengan video,React,Landing Page,"Video Background, Formulir Pre-Order, Testimoni",Wanita 18-30 tahun,10 hari,4500000,Kecantikan,Ya,Ya
135,Website e-commerce untuk produk handmade dengan fitur custom order,Shopify,E-Commerce,"Customisasi Produk, Pembayaran, Chat",Pecinta Produk Handmade,25 hari,10000000,Kerajinan,Ya,Ya
136,Pembuatan aplikasi mobile untuk komunitas olahraga lokal,Flutter,Aplikasi Mobile,"Event, Forum, Profil Member",Atlet Amatir,40 hari,17000000,Olahraga,Ya,Ya
137,Sistem backend untuk manajemen kursus online,Express.js,Sistem Backend,"User Management, Konten Video, Quiz",Instruktur dan Siswa,50 hari,22000000,Pendidikan,Tidak,Ya
138,API untuk integrasi data antar departemen di perusahaan,Spring Boot,API,"Autentikasi, Logging, Rate Limiting",Internal Developer,35 hari,20000000,Korporat,Tidak,Ya
139,Website company profile untuk konsultan hukum dengan online booking,WordPress,Company Profile,"Profil Pengacara, Booking, FAQ",Klien Potensial,18 hari,6500000,Hukum,Ya,Ya
140,Tool analisis media sosial untuk marketing agency,Python/Django,Tool Berbasis Web/Software,"Dashboard Analytics, Report Generator, Scheduler",Digital Marketer,45 hari,19000000,Marketing,Ya,Ya
